"From: Sep 1, 2015, 12:00:27 AM To: Sep 28, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:16:49 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Food: Soupe Du Jour Bowl","4","$32.00","0","$0.00","$32.00"
"Food: Soupe Du Jour Cup","21","$118.50","0","$0.00","$118.50"
"Food: Spaghetti N' BALLS","5","$40.00","0","$0.00","$40.00"
"Food: Steak & Eggs","9","$84.00","0","$0.00","$84.00"
"Food: Tiramisu","13","$88.90","0","$0.00","$88.90"
"Food: Veal Picatta","34","$640.30","0","$0.00","$640.30"
"Food: Veg Lasagna","3","$33.60","0","$0.00","$33.60"
"Non Alcoholic: Cappuccino","7","$28.00","0","$0.00","$28.00"
"Non Alcoholic: Club Soda","1","$0.00","0","$0.00","$0.00"
"Non Alcoholic: Coffee","43","$82.80","0","$0.00","$82.80"
"Non Alcoholic: Decaf Coffee","8","$16.00","0","$0.00","$16.00"
"Non Alcoholic: Diet Pepsi","5","$11.25","0","$0.00","$11.25"
"Non Alcoholic: Expresso","3","$9.00","0","$0.00","$9.00"
"Non Alcoholic: Hot Tea","3","$6.75","0","$0.00","$6.75"
"Non Alcoholic: Iced Tea","29","$64.78","0","$0.00","$64.78"
"Non Alcoholic: Orange Juice","1","$3.00","0","$0.00","$3.00"
"Non Alcoholic: Pepsi ","3","$6.75","0","$0.00","$6.75"
"Non Alcoholic: San Pellegrino","1","$3.00","0","$0.00","$3.00"
"Non Alcoholic: Sierra Mist","3","$6.75","0","$0.00","$6.75"
"Non Alcoholic: Unsweet Tea","10","$18.00","0","$0.00","$18.00"
"Wine: Altos Malbec Btl","1","$24.00","0","$0.00","$24.00"
"Wine: Altos Malbec Gls","7","$42.00","0","$0.00","$42.00"
"Wine: Ballade Btl","1","$24.00","0","$0.00","$24.00"
"Wine: Campellares Rioja Glass","9","$72.00","0","$0.00","$72.00"
"Wine: Charles De Fere Glass","12","$55.54","0","$0.00","$55.54"
"Wine: Chateau Briot Bottle","1","$24.00","0","$0.00","$24.00"
"Wine: Chateau Briot Glass","5","$28.00","0","$0.00","$28.00"
"Wine: Chateau Larose Bottle","2","$96.00","0","$0.00","$96.00"
"Wine: Chateaumar Grenache Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Chateaumar Grenache Glass","2","$11.90","0","$0.00","$11.90"
"Wine: Corbières Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Corbières Glass","5","$35.00","0","$0.00","$35.00"
"Wine: Deloach Btl","1","$24.00","0","$0.00","$24.00"
"Wine: Deloach Pinot Noir Gls","14","$79.20","0","$0.00","$79.20"
"Wine: Essential Rose'","3","$21.00","0","$0.00","$21.00"
"Wine: Giacato P.G. Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Giacato P.G. Glass","38","$259.70","0","$0.00","$259.70"
"Wine: Heron Chard Bottle","2","$24.00","0","$0.00","$24.00"
"Wine: Heron Chardonnay Gls","28","$166.10","0","$0.00","$166.10"
"Wine: Hogwash Rose Glass","2","$14.00","0","$0.00","$14.00"
"Wine: Justin Sauv Blanc Gls","3","$15.00","0","$0.00","$15.00"
"Wine: Laguna Bottle","1","$26.00","0","$0.00","$26.00"
"Wine: Laguna Chard Glass","11","$73.90","0","$0.00","$73.90"
"Wine: Leitz Out Glass","14","$84.00","0","$0.00","$84.00"
"Wine: Lyric Pinot Bottle","6","$160.00","0","$0.00","$160.00"
"Wine: Lyric Pinot Glass","19","$146.20","0","$0.00","$146.20"
"Wine: Micael David Chard Btl","1","$36.00","0","$0.00","$36.00"
"Wine: Micael David Chard Gls","31","$268.65","0","$0.00","$268.65"
"Wine: Monte Velho Bottle","1","$32.00","0","$0.00","$32.00"
"Wine: Monte Velho Glass","1","$8.00","0","$0.00","$8.00"
"Wine: Mulderbosch Chenin Bottle","1","$26.00","0","$0.00","$26.00"
"Wine: Mulderbosch Chenin Glass","3","$17.50","0","$0.00","$17.50"
"Wine: Oberon Cab Glass","25","$208.05","0","$0.00","$208.05"
"Wine: R. Père Macon Village Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: R. Père Macon Villages Glass","3","$21.00","0","$0.00","$21.00"
"Wine: Reverdy Sancèrre Bottle ","3","$132.00","0","$0.00","$132.00"
"Wine: Schmitt Sohne Gls","12","$70.00","0","$0.00","$70.00"
"Wine: Secco Moscato Glass","18","$137.00","0","$0.00","$137.00"
"Wine: Sin Zin Bottle","3","$84.00","0","$0.00","$84.00"
"Wine: Sin Zin Glass","11","$70.25","0","$0.00","$70.25"
"Wine: Special Red","9","$45.00","0","$0.00","$45.00"
"Wine: Special Red","1","$15.00","0","$0.00","$15.00"
"Wine: Special White","10","$50.00","0","$0.00","$50.00"
"Wine: Tamari Bottle","5","$120.00","0","$0.00","$120.00"
"Wine: Tamari Cab Gls","14","$78.79","0","$0.00","$78.79"
"Wine: UBY Glass","2","$8.25","0","$0.00","$8.25"
"Wine: Velvet Devil Bottle","4","$96.00","0","$0.00","$96.00"
"Wine: Velvet Devil Glass","23","$125.40","0","$0.00","$125.40"
"Wine: Whitehaven Bottle","1","$24.00","0","$0.00","$24.00"
"Wine: Whitehaven Glass","37","$207.20","0","$0.00","$207.20"
"Wine: Xavier CDR Glass","10","$65.20","0","$0.00","$65.20"
"Alcohol: Baileys","1","$6.00","$6.00"
"Alcohol: Chivas Regal","1","$7.50","$7.50"
"Alcohol: Manhattan","2","$18.00","$18.00"
"Alcohol: Margarita","1","$6.00","$6.00"
"Beer: Spaten Octoberfest","1","$4.50","$4.50"
"Food: Brunch Chkn Schnitzel","1","$10.00","$10.00"
"Food: Brunch Jager","1","$10.00","$10.00"
"Food: Catch Of The Day","1","$20.00","$20.00"
"Food: Free Caesar","2","$0.02","$0.02"
"Food: Free Wedge","1","$0.01","$0.01"
"Food: Lunch Garden Salad","1","$0.01","$0.01"
"Food: Lunch Greek Salad","4","$0.04","$0.04"
"Food: Lunch Spaghetti Meatballs","1","$10.00","$10.00"
"Food: Maison Full","1","$8.00","$8.00"
"Food: Roasted Chicken","1","$17.00","$17.00"
"Food: Shrimp Juno","1","$12.00","$12.00"
"Food: Soupe Du Jour Cup","3","$18.00","$18.00"
"Non Alcoholic: Iced Tea","1","$2.25","$2.25"
"Non Alcoholic: Unsweet Tea","1","$2.25","$2.25"
"Wine: Heron Chardonnay Gls","1","$6.00","$6.00"
"Wine: Velvet Devil Glass","1","$6.00","$6.00"
