"From: May 5, 2015, 2:52:49 PM To: May 25, 2015, 5:22:11 PM
Generated On: May 25, 2015, 5:23:45 PM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Food: Mashed Potato","2","$4.00","0","$0.00","$4.00"
"Food: Meatballs","27","$273.00","0","$0.00","$273.00"
"Food: Mussels Provencal","24","$308.00","0","$0.00","$308.00"
"Food: NY Cheese Cake","3","$18.00","0","$0.00","$18.00"
"Food: Peach Blueberry Pie","6","$42.00","0","$0.00","$42.00"
"Food: Petite Filet","4","$54.00","0","$0.00","$54.00"
"Food: Pomme Frites","2","$10.00","0","$0.00","$10.00"
"Food: Provence Brulee","4","$21.00","0","$0.00","$21.00"
"Food: Quiche","18","$162.00","0","$0.00","$162.00"
"Food: Rack Of Lamb","65","$1,184.50","0","$0.00","$1,184.50"
"Food: Rasp Choc Cheese Cake","1","$6.00","0","$0.00","$6.00"
"Food: Red Cabbage","1","$5.00","0","$0.00","$5.00"
"Food: Roasted Balsamic Portabello","11","$140.00","0","$0.00","$140.00"
"Food: Roasted Chicken","3","$77.16","0","$0.00","$77.16"
"Food: Roasted Chicken","41","$598.50","0","$0.00","$598.50"
"Food: Roasted Potatoes","1","$5.00","0","$0.00","$5.00"
"Food: Salmon","6","$154.32","0","$0.00","$154.32"
"Food: Salmon Benidict","14","$169.50","0","$0.00","$169.50"
"Food: Scallops","12","$352.00","0","$0.00","$352.00"
"Food: Shrimp Bisque Bowl","7","$56.00","0","$0.00","$56.00"
"Food: Shrimp Bisque Cup","15","$78.00","0","$0.00","$78.00"
"Food: Shrimp Juno","59","$594.00","0","$0.00","$594.00"
"Food: Cappellini","63","$1,014.30","0","$0.00","$1,014.30"
"Food: Soupe Du Jour Bowl","5","$40.00","0","$0.00","$40.00"
"Food: Soupe Du Jour Cup","30","$174.00","0","$0.00","$174.00"
"Food: Steak & Eggs","19","$192.00","0","$0.00","$192.00"
"Food: Steak Special","2","$16.00","0","$0.00","$16.00"
"Food: Tapas Special","2","$28.00","0","$0.00","$28.00"
"Food: Tiramisu","15","$86.80","0","$0.00","$86.80"
"Food: Trout Mueniere","23","$286.00","0","$0.00","$286.00"
"Food: Tuxedo Cheese Cake","1","$6.00","0","$0.00","$6.00"
"Food: Veal Picatta","37","$685.00","0","$0.00","$685.00"
"Food: Whole Artichoke","6","$36.00","0","$0.00","$36.00"
"Non Alcoholic: Buffalo Rock G. Ale","1","$2.50","0","$0.00","$2.50"
"Non Alcoholic: Cappuccino","4","$12.00","0","$0.00","$12.00"
"Non Alcoholic: Club Soda","3","$0.00","0","$0.00","$0.00"
"Non Alcoholic: Coffee","57","$106.00","0","$0.00","$106.00"
"Non Alcoholic: Cranberry Juice","2","$6.00","0","$0.00","$6.00"
"Non Alcoholic: Decaf Coffee","23","$44.80","0","$0.00","$44.80"
