"From: Jun 1, 2015, 12:00:27 AM To: Jul 1, 2015, 12:00:05 AM
Generated On: Sep 28, 2015, 10:14:28 AM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Food: Mussels Provencal","16","$224.00","0","$0.00","$224.00"
"Food: NY Cheese Cake","12","$84.00","0","$0.00","$84.00"
"Food: Olives","1","$5.00","0","$0.00","$5.00"
"Food: Omelet","7","$84.00","0","$0.00","$84.00"
"Food: Petite Filet","4","$72.00","0","$0.00","$72.00"
"Food: Pomme Frites","1","$5.00","0","$0.00","$5.00"
"Food: Rack Of Lamb","32","$608.00","0","$0.00","$608.00"
"Food: Red Cabbage","1","$5.00","0","$0.00","$5.00"
"Food: Roasted Balsamic Portabello","6","$84.00","0","$0.00","$84.00"
"Food: Roasted Chicken","30","$476.00","0","$0.00","$476.00"
"Food: Salmon Benidict","8","$120.00","0","$0.00","$120.00"
"Food: Scallops","12","$233.00","0","$0.00","$233.00"
"Food: Shrimp & Grits","4","$52.00","0","$0.00","$52.00"
"Food: Shrimp Juno","56","$636.00","0","$0.00","$636.00"
"Food: Smoked Chicken Ravioli","2","$24.00","0","$0.00","$24.00"
"Food: Soupe Du Jour Bowl","9","$54.00","0","$0.00","$54.00"
"Food: Soupe Du Jour Cup","27","$151.84","0","$0.00","$151.84"
"Food: Spinach & Garlic Sautee","1","$5.00","0","$0.00","$5.00"
"Food: Steak & Eggs","8","$128.00","0","$0.00","$128.00"
"Food: Steak Frites","5","$88.00","0","$0.00","$88.00"
"Food: Strawberry Rhubarb Cobbler","4","$28.00","0","$0.00","$28.00"
"Food: Summer Berry Salad","4","$36.00","0","$0.00","$36.00"
"Food: Trout Mueniere","9","$104.00","0","$0.00","$104.00"
"Food: Veal Picatta","38","$667.00","0","$0.00","$667.00"
"Non Alcoholic: Cappuccino","6","$24.00","0","$0.00","$24.00"
"Non Alcoholic: Club Soda","6","$0.00","0","$0.00","$0.00"
"Non Alcoholic: Coffee","45","$90.00","0","$0.00","$90.00"
"Non Alcoholic: Decaf Coffee","11","$22.00","0","$0.00","$22.00"
"Non Alcoholic: Diet Pepsi","3","$6.75","0","$0.00","$6.75"
"Non Alcoholic: Dr. Pepper","1","$0.00","0","$0.00","$0.00"
"Non Alcoholic: Expresso","2","$6.00","0","$0.00","$6.00"
"Non Alcoholic: Grapefruit Juice","2","$3.00","0","$0.00","$3.00"
"Non Alcoholic: Hot Tea","7","$15.75","0","$0.00","$15.75"
"Non Alcoholic: Iced Tea","40","$88.12","0","$0.00","$88.12"
"Non Alcoholic: Milk","2","$0.00","0","$0.00","$0.00"
"Non Alcoholic: Misc","1","$2.00","0","$0.00","$2.00"
"Non Alcoholic: Orange Juice","1","$3.00","0","$0.00","$3.00"
"Non Alcoholic: Pepsi ","8","$18.00","0","$0.00","$18.00"
"Non Alcoholic: San Pellegrino","7","$21.00","0","$0.00","$21.00"
"Non Alcoholic: Sierra Mist","1","$2.25","0","$0.00","$2.25"
"Non Alcoholic: Unsweet Tea","8","$18.00","0","$0.00","$18.00"
"Wine: Campellares Rioja Glass","22","$152.00","0","$0.00","$152.00"
"Wine: Chamisal Chard Bottle","4","$112.00","0","$0.00","$112.00"
"Wine: Chamisal Chard Glass","48","$329.70","0","$0.00","$329.70"
"Wine: Charles & Charles Rose Bottle","1","$26.00","0","$0.00","$26.00"
"Wine: Charles De Fere Glass","42","$213.00","0","$0.00","$213.00"
"Wine: Chateau Briot Bottle","2","$48.00","0","$0.00","$48.00"
"Wine: Chateau Briot Glass","8","$48.00","0","$0.00","$48.00"
"Wine: Chateau Larose Bottle","1","$48.00","0","$0.00","$48.00"
"Wine: Chateaumar Grenache Bottle","2","$56.00","0","$0.00","$56.00"
"Wine: Chateaumar Grenache Glass","2","$14.00","0","$0.00","$14.00"
"Wine: Chelsea Merlot Bottle","1","$35.00","0","$0.00","$35.00"
"Wine: Chelsea Merlot Gls","4","$30.00","0","$0.00","$30.00"
"Wine: Corbières Glass","4","$28.00","0","$0.00","$28.00"
"Wine: Essential Rose'","1","$7.00","0","$0.00","$7.00"
"Wine: Etoile Malbec Bottle","3","$84.00","0","$0.00","$84.00"
"Wine: Etoile Malbec Glass","9","$57.70","0","$0.00","$57.70"
"Wine: Gambler Malbec Bottle","4","$128.00","0","$0.00","$128.00"
"Wine: Gambler Malbec Glass","23","$184.00","0","$0.00","$184.00"
"Wine: Giacato P.G. Bottle","4","$112.00","0","$0.00","$112.00"
"Wine: Giacato P.G. Glass","34","$210.00","0","$0.00","$210.00"
"Wine: Hogwash Rose Glass","1","$7.00","0","$0.00","$7.00"
"Wine: Leitz Out Bottle","5","$120.00","0","$0.00","$120.00"
"Wine: Leitz Out Glass","28","$157.84","0","$0.00","$157.84"
"Wine: Lyric Pinot Bottle","4","$128.00","0","$0.00","$128.00"
"Wine: Lyric Pinot Glass","11","$88.00","0","$0.00","$88.00"
"Wine: Malvira Arneis Glass","6","$48.00","0","$0.00","$48.00"
"Wine: Mar de Vinas Alb. Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Monte Velho Bottle","3","$96.00","0","$0.00","$96.00"
"Wine: Monte Velho Glass","21","$168.00","0","$0.00","$168.00"
"Wine: Moschofilero Glass","1","$6.00","0","$0.00","$6.00"
"Wine: Mulderbosch Chenin Glass","7","$38.00","0","$0.00","$38.00"
"Wine: Oberon Cab Bottle","5","$190.00","0","$0.00","$190.00"
"Wine: Oberon Cab Glass","37","$304.55","0","$0.00","$304.55"
"Wine: Louis Bernard Chateaneuf Bottle","1","$45.00","0","$0.00","$45.00"
"Wine: R. Père Macon Village Bottle","2","$31.00","0","$0.00","$31.00"
"Wine: R. Père Macon Villages Glass","11","$76.00","0","$0.00","$76.00"
"Wine: Secco Moscato Glass","14","$111.00","0","$0.00","$111.00"
"Wine: Sensation Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Sensation CDR Gls","11","$50.28","0","$0.00","$50.28"
"Wine: Sin Zin Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Sin Zin Glass","11","$76.00","0","$0.00","$76.00"
"Wine: Special Red","10","$173.01","0","$0.00","$173.01"
"Wine: Thorle Dry Reisling","1","$5.50","0","$0.00","$5.50"
"Wine: UBY Bottle","1","$20.00","0","$0.00","$20.00"
"Wine: UBY Glass","8","$38.00","0","$0.00","$38.00"
"Wine: V Veldelho Glass","5","$28.00","0","$0.00","$28.00"
"Wine: V Verdelho Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Velvet Devil Bottle","2","$48.00","0","$0.00","$48.00"
"Wine: Velvet Devil Glass","50","$289.00","0","$0.00","$289.00"
"Wine: Walnut City Pinot Bottle","7","$224.00","0","$0.00","$224.00"
"Wine: Walnut City Pinot Glass","28","$224.00","0","$0.00","$224.00"
"Wine: Whitehaven Bottle","4","$96.00","0","$0.00","$96.00"
"Wine: Whitehaven Glass","36","$190.00","0","$0.00","$190.00"
"Wine: Xavier CDR Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Xavier CDR Glass","8","$55.00","0","$0.00","$55.00"
"Alcohol: Absolut","2","$11.50","$11.50"
"Alcohol: Bloody Mary","1","$6.00","$6.00"
"Alcohol: Bombay Sapphire","1","$5.75","$5.75"
"Alcohol: Bourbon","2","$9.00","$9.00"
"Alcohol: Hendricks Gin","1","$7.50","$7.50"
"Alcohol: Savalle Pom Cosmo","2","$20.00","$20.00"
"Alcohol: Woodford Dbl Oak","2","$21.50","$21.50"
"Beer: Blue Moon","1","$4.00","$4.00"
"Beer: Miller Light","1","$3.50","$3.50"
"Beer: Paulaner Hefe-Weizen","1","$5.50","$5.50"
"Food: Bleu Caesar Half","2","$13.00","$13.00"
"Food: Caesar Half","1","$6.00","$6.00"
"Food: Chicken Rav Entree","1","$18.00","$18.00"
"Food: Creme Brulee","3","$21.00","$21.00"
"Food: Filet Mignon","2","$68.00","$68.00"
"Food: Flourless Chocolate Torte","1","$7.00","$7.00"
"Food: House Special","3","$55.00","$55.00"
"Food: Iceburg Wedge Full","1","$8.00","$8.00"
"Food: Lamb Lollies","1","$18.00","$18.00"
"Food: Maison Half","1","$6.00","$6.00"
"Food: Meatballs","1","$13.00","$13.00"
"Food: Petite Filet","2","$48.00","$48.00"
"Food: Roasted Chicken","1","$17.00","$17.00"
"Food: Scallops","1","$19.00","$19.00"
"Food: Shrimp & Grits","1","$13.00","$13.00"
"Food: Shrimp Juno","6","$72.00","$72.00"
"Food: Soupe Du Jour Bowl","1","$8.00","$8.00"
"Food: Soupe Du Jour Cup","1","$6.00","$6.00"
"Food: Steak Frites","2","$44.00","$44.00"
"Food: Trout Mueniere","1","$13.00","$13.00"
"Food: Veal Picatta","1","$19.00","$19.00"
"Wine: Chateaumar Grenache Glass","1","$7.00","$7.00"
"Wine: Maso P. G. Bottle","1","$28.00","$28.00"
"Wine: Oberon Cab Glass","1","$9.50","$9.50"
"Wine: Special Red","1","$5.00","$5.00"
"Wine: UBY Bottle","1","$20.00","$20.00"
"Wine: Velvet Devil Glass","3","$18.00","$18.00"
"Wine: Walnut City Pinot Bottle","2","$64.00","$64.00"
"Wine: Walnut City Pinot Glass","2","$16.00","$16.00"
